file,speaker,label
4.wav,Christopher Hitchens,bona-fide
5.wav,Ayn Rand,bona-fide
7.wav,Donald Trump,bona-fide
8.wav,Donald Trump,bona-fide
9.wav,Alec Guinness,bona-fide
11.wav,Christopher Hitchens,bona-fide
12.wav,Calvin Coolidge,bona-fide
14.wav,Barack Obama,bona-fide
18.wav,Donald Trump,bona-fide
20.wav,Donald Trump,bona-fide
22.wav,2Pac,bona-fide
23.wav,Donald Trump,bona-fide
26.wav,JFK,bona-fide
27.wav,Arnold Schwarzenegger,bona-fide
28.wav,Nick Offerman,bona-fide
29.wav,Bill Clinton,bona-fide
30.wav,Martin Luther King,bona-fide
33.wav,Bill Clinton,bona-fide
36.wav,Christopher Hitchens,bona-fide
37.wav,Ronald Reagan,bona-fide
38.wav,Barack Obama,bona-fide
39.wav,Christopher Hitchens,bona-fide
44.wav,Bernie Sanders,bona-fide
45.wav,Mark Zuckerberg,bona-fide
46.wav,Alec Guinness,bona-fide
48.wav,Richard Nixon,bona-fide
49.wav,Barack Obama,bona-fide
51.wav,Dave Chappelle,bona-fide
52.wav,Bernie Sanders,bona-fide
53.wav,Boris Johnson,bona-fide
54.wav,Martin Luther King,bona-fide
55.wav,Bill Clinton,bona-fide
56.wav,JFK,bona-fide
58.wav,Mark Zuckerberg,bona-fide
64.wav,Ayn Rand,bona-fide
66.wav,Barack Obama,bona-fide
67.wav,Bernie Sanders,bona-fide
70.wav,Alan Watts,bona-fide
71.wav,Jimmy Carter,bona-fide
72.wav,Barack Obama,bona-fide
73.wav,Bill Clinton,bona-fide
74.wav,Christopher Hitchens,bona-fide
75.wav,Winston Churchill,bona-fide
77.wav,Alec Guinness,bona-fide
78.wav,Dwight Eisenhower,bona-fide
80.wav,Donald Trump,bona-fide
82.wav,Alec Guinness,bona-fide
83.wav,Bill Clinton,bona-fide
84.wav,Bernie Sanders,bona-fide
85.wav,Bernie Sanders,bona-fide
86.wav,Alec Guinness,bona-fide
87.wav,Alec Guinness,bona-fide
88.wav,Ronald Reagan,bona-fide
89.wav,Barack Obama,bona-fide
90.wav,Donald Trump,bona-fide
93.wav,Ayn Rand,bona-fide
94.wav,Barack Obama,bona-fide
95.wav,Bill Clinton,bona-fide
96.wav,Alec Guinness,bona-fide
97.wav,Barack Obama,bona-fide
98.wav,Bernie Sanders,bona-fide
99.wav,Bill Burr,bona-fide
100.wav,Alexandria Ocasio-Cortez,bona-fide
102.wav,Milton Friedman,bona-fide
104.wav,Bernie Sanders,bona-fide
105.wav,Christopher Hitchens,bona-fide
106.wav,FDR,bona-fide
108.wav,Donald Trump,bona-fide
109.wav,Arnold Schwarzenegger,bona-fide
111.wav,Barack Obama,bona-fide
112.wav,Barack Obama,bona-fide
113.wav,Donald Trump,bona-fide
115.wav,Bill Clinton,bona-fide
119.wav,Barack Obama,bona-fide
120.wav,Barack Obama,bona-fide
121.wav,Ayn Rand,bona-fide
123.wav,Donald Trump,bona-fide
124.wav,Barack Obama,bona-fide
125.wav,Donald Trump,bona-fide
129.wav,Milton Friedman,bona-fide
130.wav,Bernie Sanders,bona-fide
131.wav,Bill Clinton,bona-fide
133.wav,Barack Obama,bona-fide
134.wav,Donald Trump,bona-fide
137.wav,Bill Clinton,bona-fide
140.wav,Alec Guinness,bona-fide
141.wav,Mark Zuckerberg,bona-fide
142.wav,Mark Zuckerberg,bona-fide
143.wav,Ayn Rand,bona-fide
145.wav,Barack Obama,bona-fide
147.wav,Alec Guinness,bona-fide
149.wav,Martin Luther King,bona-fide
151.wav,Martin Luther King,bona-fide
152.wav,Christopher Hitchens,bona-fide
154.wav,Winston Churchill,bona-fide
156.wav,Martin Luther King,bona-fide
157.wav,Bill Clinton,bona-fide
158.wav,Donald Trump,bona-fide
160.wav,Martin Luther King,bona-fide
161.wav,Donald Trump,bona-fide
162.wav,Donald Trump,bona-fide
164.wav,Barack Obama,bona-fide
166.wav,Alec Guinness,bona-fide
167.wav,Ayn Rand,bona-fide
168.wav,Alec Guinness,bona-fide
169.wav,Ayn Rand,bona-fide
171.wav,Donald Trump,bona-fide
173.wav,Christopher Hitchens,bona-fide
176.wav,Barack Obama,bona-fide
177.wav,JFK,bona-fide
178.wav,Ronald Reagan,bona-fide
180.wav,Donald Trump,bona-fide
181.wav,Christopher Hitchens,bona-fide
183.wav,Bernie Sanders,bona-fide
185.wav,Winston Churchill,bona-fide
187.wav,Bernie Sanders,bona-fide
189.wav,Bernie Sanders,bona-fide
192.wav,Winston Churchill,bona-fide
194.wav,Bernie Sanders,bona-fide
195.wav,Barack Obama,bona-fide
196.wav,Bernie Sanders,bona-fide
197.wav,Barack Obama,bona-fide
198.wav,Bernie Sanders,bona-fide
199.wav,Barack Obama,bona-fide
200.wav,Donald Trump,bona-fide
201.wav,Donald Trump,bona-fide
202.wav,Ayn Rand,bona-fide
203.wav,Barack Obama,bona-fide
204.wav,Donald Trump,bona-fide
205.wav,Donald Trump,bona-fide
206.wav,Ayn Rand,bona-fide
208.wav,Bernie Sanders,bona-fide
210.wav,Alec Guinness,bona-fide
212.wav,Ronald Reagan,bona-fide
213.wav,FDR,bona-fide
216.wav,Mark Zuckerberg,bona-fide
217.wav,Richard Nixon,bona-fide
218.wav,Donald Trump,bona-fide
219.wav,Donald Trump,bona-fide
220.wav,Ronald Reagan,bona-fide
221.wav,Richard Nixon,bona-fide
222.wav,Donald Trump,bona-fide
223.wav,Barack Obama,bona-fide
227.wav,Barack Obama,bona-fide
228.wav,Alec Guinness,bona-fide
230.wav,Christopher Hitchens,bona-fide
232.wav,Alexandria Ocasio-Cortez,bona-fide
233.wav,Louis Farrakhan,bona-fide
234.wav,Winston Churchill,bona-fide
235.wav,Christopher Hitchens,bona-fide
237.wav,Christopher Hitchens,bona-fide
238.wav,Bill Clinton,bona-fide
239.wav,Louis Farrakhan,bona-fide
240.wav,JFK,bona-fide
241.wav,Ronald Reagan,bona-fide
242.wav,Ayn Rand,bona-fide
243.wav,Donald Trump,bona-fide
244.wav,Barack Obama,bona-fide
245.wav,Ronald Reagan,bona-fide
247.wav,Norm MacDonald,bona-fide
248.wav,Christopher Hitchens,bona-fide
249.wav,Alec Guinness,bona-fide
250.wav,Donald Trump,bona-fide
252.wav,Queen Elizabeth II,bona-fide
254.wav,Bernie Sanders,bona-fide
255.wav,Alec Guinness,bona-fide
256.wav,Winston Churchill,bona-fide
258.wav,Barack Obama,bona-fide
259.wav,Bernie Sanders,bona-fide
260.wav,Donald Trump,bona-fide
262.wav,Arnold Schwarzenegger,bona-fide
263.wav,Ayn Rand,bona-fide
264.wav,Gilbert Gottfried,bona-fide
266.wav,Bernie Sanders,bona-fide
268.wav,Donald Trump,bona-fide
272.wav,Barack Obama,bona-fide
274.wav,Bill Burr,bona-fide
276.wav,Barack Obama,bona-fide
279.wav,Donald Trump,bona-fide
280.wav,Bernie Sanders,bona-fide
281.wav,Barack Obama,bona-fide
284.wav,Ayn Rand,bona-fide
286.wav,George Carlin,bona-fide
288.wav,Barack Obama,bona-fide
289.wav,Ayn Rand,bona-fide
290.wav,Donald Trump,bona-fide
291.wav,Winston Churchill,bona-fide
298.wav,Ayn Rand,bona-fide
299.wav,Donald Trump,bona-fide
300.wav,Bill Clinton,bona-fide
301.wav,Barack Obama,bona-fide
304.wav,Barack Obama,bona-fide
305.wav,Martin Luther King,bona-fide
306.wav,George Carlin,bona-fide
308.wav,Ronald Reagan,bona-fide
309.wav,Bernie Sanders,bona-fide
311.wav,Barack Obama,bona-fide
313.wav,Nelson Mandela,bona-fide
314.wav,Christopher Hitchens,bona-fide
315.wav,Barack Obama,bona-fide
316.wav,Bernie Sanders,bona-fide
320.wav,FDR,bona-fide
321.wav,Christopher Hitchens,bona-fide
322.wav,Barack Obama,bona-fide
323.wav,Louis Farrakhan,bona-fide
325.wav,Barack Obama,bona-fide
326.wav,Robert Kardashian,bona-fide
327.wav,Barack Obama,bona-fide
328.wav,Ronald Reagan,bona-fide
329.wav,John Cleese,bona-fide
330.wav,Bernie Sanders,bona-fide
331.wav,Barack Obama,bona-fide
332.wav,Malcolm X,bona-fide
333.wav,FDR,bona-fide
334.wav,Barack Obama,bona-fide
335.wav,Bill Burr,bona-fide
336.wav,Robert Kardashian,bona-fide
337.wav,Bernie Sanders,bona-fide
340.wav,Ronald Reagan,bona-fide
