file,speaker,label
0.wav,Alec Guinness,spoof
1.wav,Alec Guinness,spoof
2.wav,Barack Obama,spoof
3.wav,Alec Guinness,spoof
6.wav,Barack Obama,spoof
10.wav,Bernie Sanders,spoof
13.wav,Alec Guinness,spoof
15.wav,Bernie Sanders,spoof
16.wav,Winston Churchill,spoof
17.wav,Winston Churchill,spoof
19.wav,Bob Ross,spoof
21.wav,Richard Nixon,spoof
24.wav,Ronald Reagan,spoof
25.wav,Ayn Rand,spoof
31.wav,Bill Burr,spoof
32.wav,Ronald Reagan,spoof
34.wav,Alec Guinness,spoof
35.wav,Ayn Rand,spoof
40.wav,Christopher Hitchens,spoof
41.wav,Donald Trump,spoof
42.wav,Bernie Sanders,spoof
43.wav,Ayn Rand,spoof
47.wav,Alec Guinness,spoof
50.wav,George W. Bush,spoof
57.wav,Alan Watts,spoof
59.wav,Louis C.K.,spoof
60.wav,The Notorious B.I.G.,spoof
61.wav,Alec Guinness,spoof
62.wav,Ronald Reagan,spoof
63.wav,Ayn Rand,spoof
65.wav,Mark Zuckerberg,spoof
68.wav,Bernie Sanders,spoof
69.wav,Bernie Sanders,spoof
76.wav,Bill Clinton,spoof
79.wav,2Pac,spoof
81.wav,Bernie Sanders,spoof
91.wav,Bill Clinton,spoof
92.wav,Mitch Hedberg,spoof
101.wav,Christopher Hitchens,spoof
103.wav,Bernie Sanders,spoof
107.wav,Alec Guinness,spoof
110.wav,Milton Friedman,spoof
114.wav,Ayn Rand,spoof
116.wav,FDR,spoof
117.wav,Alan Watts,spoof
118.wav,Bernie Sanders,spoof
122.wav,FDR,spoof
126.wav,Mitch Hedberg,spoof
127.wav,George W. Bush,spoof
128.wav,Alan Watts,spoof
132.wav,JFK,spoof
135.wav,Bernie Sanders,spoof
136.wav,Alec Guinness,spoof
138.wav,Donald Trump,spoof
139.wav,Bernie Sanders,spoof
144.wav,Queen Elizabeth II,spoof
146.wav,The Notorious B.I.G.,spoof
148.wav,Jerry Seinfeld,spoof
150.wav,Queen Elizabeth II,spoof
153.wav,2Pac,spoof
155.wav,Alec Guinness,spoof
159.wav,Bernie Sanders,spoof
163.wav,Alec Guinness,spoof
165.wav,George W. Bush,spoof
170.wav,Tucker Carlson,spoof
172.wav,Ayn Rand,spoof
174.wav,Alec Guinness,spoof
175.wav,Nelson Mandela,spoof
179.wav,Ayn Rand,spoof
182.wav,Ayn Rand,spoof
184.wav,Barack Obama,spoof
186.wav,Alec Guinness,spoof
188.wav,Milton Friedman,spoof
190.wav,Barack Obama,spoof
